the_geom,School_ID,Y,X,School_Typ,Grade_Cat,Grades,SCH_ADDR,SCHOOL_NM
POINT (-87.73049511744672 41.81013478652209),400079,1873979.91349,1148595.64718,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","4248 W 47TH ST, 60632",ACERO - ZIZUMBO
POINT (-87.73045044341933 41.80819980605674),400080,1873274.90374,1148612.77248,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","4248 W 47TH ST, 60632",ACERO - TORRES
POINT (-87.66794916955581 41.859504007501364),400081,1892095.67647,1165507.64223,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","1641 W 16TH ST, 60608",ACERO - DE LAS CASAS
POINT (-87.69959365144675 41.937475775108396),400082,1920443.35599,1156677.4299,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","2845 W BARRY AVE, 60618",ACERO - FUENTES
POINT (-87.69255089867096 41.85003541229726),400083,1888594.36982,1158831.58931,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","2651 W 23RD ST, 60608",ACERO - PAZ
POINT (-87.69386163539056 41.799930185927614),400084,1870333.60221,1158610.37223,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","5135 S CALIFORNIA AVE, 60632",ACERO - TAMAYO
POINT (-87.73046684945614 41.809170789228574),400085,1873628.69273,1148605.81776,Traditional,HS,"9, 10, 11, 12","4248 W 47TH ST, 60632",ACERO - GARCIA HS
POINT (-87.63435669192559 41.781497815831855),400086,1863743.28468,1174889.87346,Traditional,HS,"9, 10, 11, 12","6201 S STEWART AVE, 60621",URBAN PREP - ENGLEWOOD HS
POINT (-87.61872379631045 41.84454380554294),400087,1886751.98243,1178962.59367,Traditional,HS,"9, 10, 11, 12","2641 S CALUMET AVE, 60616",YOUNG WOMENS HS
POINT (-87.69739409699946 41.80830882382766),400089,1873379.58102,1157624.60583,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","2916 W 47TH ST, 60632",ACERO - MARQUEZ
POINT (-87.65909480292642 41.86330140822328),400091,1893498.25831,1167908.81,Traditional,HS,"9, 10, 11, 12","1301 W 14TH ST, 60608",CHICAGO TECH HS
POINT (-87.60503910190955 41.653663449416015),400092,1817228.17627,1183280.08437,Traditional,ES,"K, 1, 2, 3, 4, 5, 6","13300 S LANGLEY AVE, 60827",CICS - BOND
POINT (-87.55022236950532 41.744849105595485),400094,1850586.52359,1197958.52221,Traditional,HS,"9, 10, 11, 12","8255 S HOUSTON AVE, 60617",EPIC HS
POINT (-87.66407246853345 41.90779717825756),400096,1909701.87551,1166426.46027,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","1424 N CLEAVER ST, 60642",ROWE
POINT (-87.67819525963878 41.87880880794607),400097,1899108.84518,1162662.79785,Traditional,HS,"9, 10, 11, 12","2040 W ADAMS ST, 60612",NOBLE - BULLS HS
POINT (-87.62633828219971 41.88274025710012),400098,1900653.52976,1176773.20762,Traditional,HS,"9, 10, 11, 12","1 N STATE ST, 60602",NOBLE - MUCHIN HS
POINT (-87.69399616198365 41.8228837404716),400101,1878697.47557,1158511.46659,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","2744 W PERSHING RD, 60632",ACERO - CISNEROS
POINT (-87.66010654063662 41.86254001922581),400102,1893218.64699,1167635.39257,Traditional,HS,"9, 10, 11, 12","1326 W 14TH PL, 60608",URBAN PREP - WEST HS
POINT (-87.6872401588268 41.84596658769947),400104,1887122.54501,1160289.66546,Traditional,HS,"9, 10, 11, 12","2520 S WESTERN AVE, 60608",INSTITUTO - HEALTH
POINT (-87.61362864698684 41.83111753084326),400105,1881871.08504,1180391.89264,Traditional,HS,"9, 10, 11, 12","521 E 35TH ST, 60616",URBAN PREP - BRONZEVILLE HS
POINT (-87.63511669835238 41.77836949834166),400106,1862601.66393,1174691.84302,Traditional,HS,"9, 10, 11, 12","6350 S STEWART AVE, 60621",NOBLE - JOHNSON HS
POINT (-87.54557989281986 41.73333313284307),400107,1846401.76884,1199263.86081,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","8914 S BUFFALO AVE, 60617",LEARN - SOUTH CHICAGO
POINT (-87.66572105552245 41.74312176998597),400111,1849691.40202,1166443.99797,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7","1700 W 83RD ST, 60620",LEARN - PERKINS
POINT (-87.70879678421302 41.80104241336387),400112,1870708.94923,1154535.14416,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","5050 S HOMAN AVE, 60632",ACERO - IDAR
POINT (-87.6455614997251 41.90779679504793),400113,1909741.59426,1171465.27434,Traditional,HS,"9, 10, 11, 12","1443 N OGDEN AVE, 60610",CICS - CHICAGOQUEST HS
POINT (-87.68989562476189 41.90034363442005),400114,1906932.01589,1159417.59568,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","2510 W CORTEZ ST, 60622",ACERO - SANTIAGO
POINT (-87.6930753226288 41.770991718211576),400115,1859790.23025,1158903.29422,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","6727 S CALIFORNIA AVE, 60629",CATALYST - MARIA
POINT (-87.6676390084211 41.7673901123986),400116,1858530.51427,1165852.15237,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","6936 S HERMITAGE AVE, 60636",MONTESSORI ENGLEWOOD
POINT (-87.65098672782085 41.734441622545084),400117,1846559.9821,1170490.15359,Traditional,HS,"9, 10, 11, 12","8748 S ABERDEEN ST, 60620",NOBLE - HANSBERRY HS
POINT (-87.71165422586564 41.86932807646286),400118,1895586.30564,1153575.94792,Traditional,HS,"9, 10, 11, 12","931 S HOMAN AVE, 60624",NOBLE - DRW HS
POINT (-87.73377838310492 41.88173275840047),400119,1900063.68382,1147518.41935,Traditional,HS,"9, 10, 11, 12","4319 W WASHINGTON BLVD, 60624",LEGAL PREP HS
POINT (-87.78783043795977 41.917951679001526),400120,1913163.63663,1132715.20683,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","2050 N NATCHEZ AVE, 60707",ACERO - CLEMENTE
POINT (-87.68440568153892 42.01647588165271),400121,1949262.29343,1160591.69799,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","7416 N RIDGE BLVD, 60645",ACERO - DE LA CRUZ
POINT (-87.74253889944762 41.880447187300774),400123,1899578.67922,1145136.00581,Options,HS,"10, 11, 12","4651 W MADISON ST, 60644",YCCS - SCHOLASTIC ACHIEVEMENT
POINT (-87.62533077011555 41.84133116704404),400124,1885566.39655,1177172.00473,Options,HS,"10, 11, 12","2920 S WABASH AVE, 60616",YCCS - MCKINLEY
POINT (-87.72713735989637 41.93818660243103),400125,1920648.18695,1149181.49509,Options,HS,"10, 11, 12","3121 N PULASKI RD, 60641",YCCS - ASPIRA PANTOJA
POINT (-87.70685988382161 41.9015724066718),400126,1907345.59872,1154796.00519,Options,HS,"10, 11","1116 N KEDZIE AVE, 60651",YCCS - ASSOCIATION HOUSE
